 NS,EW,UD
-0.01,-0.002,0.01
-0.013,0.006,0.034
0.013,0.001,0.019
0.009,0.025,0.018
0.013,0.008,-0.012
0.018,0,-0.023
-0.028,0.028,-0.041
-0.006,0.021,-0.017
0.001,0.002,0
0.019,-0.014,0.015
0.016,0.004,0.069
-0.018,0.008,0.025
-0.012,0.021,0.03
-0.001,0.005,-0.015
0.016,-0.001,-0.019
0.018,-0.002,-0.037
0.007,0.005,-0.02
-0.009,-0.012,-0.025
0.019,0.002,0.007
-0.009,-0.014,0.008
-0.008,-0.024,-0.01
-0.01,-0.015,0.028
0.011,-0.016,0.043
0,-0.005,0
-0.001,0,-0.036
-0.028,-0.001,-0.043
0.003,0.001,-0.014
0.005,0.017,0.028
0.027,0.014,0.014
-0.007,0.01,0.036
-0.007,-0.018,-0.001
0.003,-0.013,0.013
-0.006,0.016,-0.02
-0.021,0.011,0.015
0.016,0.019,0.031
0.018,-0.017,0.02
0.008,-0.021,0.043
-0.019,-0.002,0.006
-0.012,0.02,-0.005
0.008,-0.008,-0.019
0.009,0.007,-0.025
-0.005,0.023,-0.017
-0.002,0.007,-0.004
-0.05,-0.013,-0.021
-0.006,0.01,0.008
-0.005,-0.03,-0.011
0.032,-0.006,0.044
0.007,0.012,0.017
0.007,-0.01,0.032
-0.003,-0.006,-0.011
0,-0.007,-0.016
-0.024,-0.006,-0.039
-0.016,0.026,0.025
0.013,0.004,-0.009
0.006,0.016,-0.019
0.006,0.006,0.006
0.006,-0.01,-0.003
0.011,-0.016,-0.006
0.003,0.012,-0.002
0,0.014,0.003
-0.004,-0.022,-0.007
0.008,-0.034,-0.003
0.005,0.004,-0.029
0.007,0.014,0.025
0.016,-0.023,0.017
0,0.005,0.011
0,-0.001,0.005
-0.004,-0.003,-0.007
0.009,0.029,-0.021
-0.012,0.015,-0.056
-0.01,-0.001,-0.01
0.008,0.011,0.004
-0.007,-0.002,0.023
0.003,0.016,0.024
-0.015,0.011,0.015
-0.028,-0.015,-0.012
0.006,0.004,-0.03
-0.001,0.022,-0.01
0.014,0.015,0.002
-0.008,0.011,0.016
0.01,-0.001,0.034
0.006,-0.007,-0.001
-0.009,0.017,-0.003
-0.022,0.021,-0.021
0,0.006,-0.028
-0.008,0.023,0.011
0.007,-0.006,0.003
0.006,0.013,-0.001
-0.001,-0.012,0.031
0.032,0.021,0.037
0.004,0.005,0.005
0.008,0.002,-0.003
0.025,-0.017,-0.017
0.003,-0.006,0.005
-0.018,0,-0.004
-0.004,0.002,-0.012
-0.004,0.014,0.014
-0.015,0.007,0.012
0.002,-0.01,0.016
0.011,-0.024,-0.013
-0.006,-0.021,-0.032
0.001,0.01,0.007
0.012,0.001,0.007
-0.007,0.025,-0.007
0.01,0.01,0.013
-0.003,-0.004,-0.004
-0.009,-0.012,0.017
-0.024,0.005,-0.002
-0.015,0.021,0.001
-0.012,0.025,0.011
-0.002,0.018,0.001
0.01,-0.021,-0.03
-0.006,-0.015,-0.037
0.014,0.008,-0.044
-0.002,0.011,-0.006
